description,house_rules,picture_url,user_id,latitude,longitude,max_occupancy,num_bathrooms,num_bedrooms,num_beds,price
Lovely spacious sunny 1 BR apartment in 6th Floor elevator building steps from gorgeous Fort Tryon Park/The Cloisters in Manhattan less than 5 min walk from the A-train 25-minutes to midtown Manhattan. Neighborhood is quiet safe and hilly. Fully equipped all brand new kitchen; king size bed; WiFi and cable; and more. We are looking for responsible renters who don\t mind feeding our Maine Coon cat while staying there. ,,https://a0.muscache.com/im/pictures/3755/3f9d31cf_original.jpg?aki_policy=large,1,40.85722,-73.9379,2,,1,2,$100.00 
Beautiful spacious skylit studio in the heart of Midtown Manhattan.  STUNNING SKYLIT STUDIO / 1 BED + SINGLE / FULL BATH / FULL KITCHEN / FIREPLACE / CENTRALLY LOCATED / WiFi + APPLE TV / SHEETS + TOWELS - Spacious (500+ft²) immaculate and nicely furnished & designed studio. - Tuck yourself into the ultra comfortable bed under the skylight. Fall in love with a myriad of bright lights in the city night sky.  - Single-sized bed/convertible floor mattress with luxury bedding (available upon request). - Gorgeous pyramid skylight with amazing diffused natural light stunning architectural details soaring high vaulted ceilings exposed brick wood burning fireplace floor seating area with natural zafu cushions modern style mixed with eclectic art & antique treasures large full bath newly renovated kitchen air conditioning/heat high speed WiFi Internet and Apple TV. - Centrally located in the heart of Midtown Manhattan just a few blocks from all subway connections in the very desir,Make yourself at home respect the space and the neighbors. No pets no smoking and no unauthorized guests.,https://a0.muscache.com/im/pictures/f0813a11-40b2-489e-8217-89a2e1637830.jpg?aki_policy=large,2,40.75362,-73.98377,2,1,0,1,$225.00 
Enjoy 500 s.f. top floor in 1899 brownstone w/ wood & ceramic flooring throughout roomy bdrm & upgraded kitchen & bathroom.  This space is unique but one of the few legal AirBnbs with a totally private bedroom private full bathroom and private eat-in kitchen SO PLEASE READ \THE SPACE\ CAREFULLY.  It\s sunny & loaded with everything you need! Your floor and the common staircase/hallway/entryway are cleaned/sanitized per Airbnb\s Enhanced Cleaning Protocol. We host on the entire top floor of our double-duplex brownstone in Clinton Hill on Gates near Classon Avenue - (7 blocks to C train 5 blocks to G train minutes to downtown Brooklyn & lower Manhattan).  It is not an apartment in the traditional sense it is more of an efficiency set-up and is TOTALLY LEGAL with all short-term rental laws. The top floor for our guests consists of a sizable bedroom full bath and eat-in kitchen for your exclusive use - you get the amenities of a private apartment on your own floor without violati,Smoking - outside please; pets allowed but please contact me first for arrangements,https://a0.muscache.com/im/pictures/e49999c2-9fd5-4ad5-b7cc-224deac989aa.jpg?aki_policy=large,3,40.68514,-73.95976,3,1,1,3,$89.00 
My large 1 bedroom apartment has a true New York City feel.  The apt is in midtown on the east side and centrally located just a 10-minute walk from Grand Central Station Empire State Building Times Square. The kitchen and living room are large and bright with Apple TV. I have a new Queen Bed that sleeps 2 people and a Queen Aero Bed that can sleep 2 people in the living room. The apartment is located on the 5th floor of a walk up - no elevator (lift). I have a large 1 bedroom apartment centrally located in Midtown East.  A 10 minute walk from Grand Central Station Times Square Empire State Building and all major subway and bus lines. The apartment is located on the 5th floor of a pre-war walk up building-no elevator/lift.  The apartment is bright with has high ceilings and flow through rooms. A spacious cozy living room with Netflix and Apple TV.  A large bright kitchen to sit and enjoy coffee or tea.  The bedroom is spacious with a comfortable queen size bed that sleeps 2.   I,• Check-in time is 2PM. • Check-out time is 12 PM. Please be respectful of the space and leave the apartment in the condition you were welcomed into.,https://a0.muscache.com/im/pictures/24020910/16cd7f5a_original.jpg?aki_policy=large,4,40.74767,-73.975,2,1,1,1,$200.00 
HELLO EVERYONE AND THANKS FOR VISITING BLISS ART SPACE!  Thank you all for your support. I\ve traveled a lot in the last year few years to the  U.K. Germany Italy and France! Loved Paris Berlin and Calabria! Highly recommend all these places.  One room available for rent in a 2 bedroom apt in Bklyn. We share a common space with kitchen. I am an artist(painter filmmaker) and curator who is working in the film industry while I\m building my art event production businesses. Price above is nightly for one person. Monthly rates available.  Price is $900 per month for one person. Utilities not included they are about 50 bucks payable when the bill arrives mid month.   Couples rates are slightly more for monthly and 90$ per night short term. If you are a couple please Iet me know and I’ll give you the monthly rate for that. Room rental is on a temporary basis perfect from 2- 6 months - no long term requests please! At the moment I AM ONLY TAKING BOOKINGS OF AT LEAST ONE OR ONE AND A HA,,https://a0.muscache.com/im/pictures/2090980c-b68e-4349-a874-4818402923e7.jpg?aki_policy=large,5,40.68688,-73.95596,2,,1,1,$60.00 
We welcome you to stay in our lovely 2 br duplex in South Slope Brooklyn.  Our home is a truly spacious respite from the busy city- close to subways restaurants cafes and parks.  Enjoy a gourmet kitchen patio grill backyard! Sleeps 4 comfortably- king bed in master bedroom 2 twin bunk beds in 2nd br.  We have a third bedroom that will be locked for storage.  We are located just steps from 5th Ave. restaurants bars coffeeshops and shopping + 3 blocks from the R train 15 min walk to Prospect Park. Lower Manhattan is  a 15-20 min subway ride away.  Midtown/theater district 30-40 min subway Note:  This is our home we live here with our two chicldren and leave the condo clean.  Our belongings will remain in our house and stowed away in closets / on shelves.  We will set aside room in closets and dressers for your use. Entire duplex apt is free to use except for computer desk and selected closets and dressers that will be marked with tape as \off limits.\ Condo includes: -Beau,no smoking no loud parties. This is our home and we have neighbors below us.   We expect that you refrain from loud noises at night jumpingetc- all the same behavior you would want tenants to respect who live above you! We expect that you treat our home as you would your own do not remove any of our belongings clean up after yourselves.  If you re-arrange any belongings please put back as you found them.   We also have a nice quiet cat we ask that you fill her food bowl and water when it is low (she is tiny and doesn\t eat much!),https://a0.muscache.com/im/pictures/25405769/42d06aa2_original.jpg?aki_policy=large,6,40.6612,-73.99423,4,1.5,2,2,$253.00 
Please don’t expect the luxury here just a basic room in the center of Manhattan. You will use one large furnished private room of a two-bedroom apartment and share a bathroom with the host.   The apartment is located a few blocks away from Central Park between 8th and 9th Avenue. The closest subway station is Columbus Circle 59th Street.  Great restaurants Broadway and all transportation are easily accessible.  The cost of the room is $79 per night.  Weekly rate is available. There is a $12.00 fee per guest.  The apartment also features hardwood floors and a second-floor walk-up.  There is a full-sized bedTV microwave and a small refrigerator as well as other appliances.   Wired internet WIFI TV electric heat bed sheets and towels are included.  A kitchen is available in the living room. You can come in any time except midnight.   Basic check in/out time is 12pm. I am flexible on the schedule so please ask.  Please nore that the living room is a private place for the host. A,No smoking in the room. When you check out please leave the keys on the table. The maximum stay shall be 2 weeks.,https://a0.muscache.com/im/pictures/12065/f070997b_original.jpg?aki_policy=large,7,40.76489,-73.98493,2,1,1,1,$79.00 
Our best guests are seeking a safe clean spare room in a family apartment.  They are comfortable being independent accommodating of family noise (quiet hours 11pm-7am) and aren\t afraid of a friendly two year old golden lab (dog).  Our guests aren\t put off by an old bathroom that while perfectly clean has some peeling paint.  In short our guests want to feel like they are staying at their sister\s apartment while visiting the city! (only their sister changed the sheets and cleaned). Stay in my family\s little  guest room and enjoy privacy a warm welcome and security.  Your guest room is comfortable and clean.   It is small but well outfitted has a single bed and a fabulous mattress which is firm and yet pillowy on top all at the same time. The bathroom is shared and immediately across the hall. (\Shared\ in the sense it isn\t \en suite.\ The family will use our second bath while you are staying with us). The bathroom is fully supplied with shampoo conditioner scrub soap ,No smoking. In fact there is no smoking anywhere in the building or in front of the building.   Return home by midnight.,https://a0.muscache.com/im/pictures/103776/b371575b_original.jpg?aki_policy=large,8,40.80178,-73.96723,1,1,1,1,$79.00 
Live like a New Yorker instead of a stuffy tiny overpriced hotel. My small yet cozy one bedroom apartment is nestled in the southern part of the historic lower east side steps to the subway and walking distance to the coolest neighborhoods. PLEASE NOTE: do not automatically book with out messaging me first. Thanks! My apartment is a cute cozy 1 bdrm apt in the Lower East Side (LES) adjacent to Chinatown in lower Manhattan steps to F train East Broadway stop and very close to Canal/Delancey streets where many hip bars restaurants and shops are in the LES. Apt is clean has a fully equipped kitchen cable TV A/C heat and wireless internet. Apt is located on 2nd floor of well maintained walk up building. Walking distance to Soho East Village Little Italy Chinatown and very close to Dumbo and Williamsburg Brooklyn. You have place to yourself-better than a hotel!  Prices listed are for up to two people only. Possible to accommodate a 3rd (for extra charge) but ideal for two.,No smoking in apartment. No Pets allowed.  Please leave apartment as you found it.,https://a0.muscache.com/im/pictures/55850511/20ccf406_original.jpg?aki_policy=large,9,40.71344,-73.99037,2,1,1,1,$150.00 
Convenient Midtown Manhattan location a block from the subways and theaters and accessible by public transportation to all regional airports. The small 5th floor walk-up in a tenement building is  most suitable for backpackers single travelers and conference goers. I rent the small bedroom which has a double bed (not queen or king) and a closet. We share the bathroom and I stay in the front of the apartment which has a sliding door. The apartment is located on the 5th floor of a walk-up building. There is no elevator. The guest room is small but quiet with air conditioning and wi-fi. The bathroom is next to the guest bedroom. I rent just the small bedroom with kitchen use at breakfast from 7am to 10:30am. I leave some space in the refrigerator if you have snacks. I am often available to orient guests and to give advise on how to get around town by subway and bus. The neighborhood is busy with restaurants staying open late due to its proximity to the Broadway theaters. The closest sub,Guests must leave recyclables in kitchen for host to recycle.  This is a non-smoking apartment and building.,https://a0.muscache.com/im/pictures/13549/81a0927c_original.jpg?aki_policy=large,10,40.7616,-73.98893,2,1,1,1,$99.00 
